cod_ibge;tiposeade;estadual;federal;municipal;particular;total_geral
3500105;Clinica;0;0;6;20;26
3500105;Consultorio_Isolado;0;0;6;148;154
3500105;Diagnose e Terapia;0;0;1;16;17
3500105;Hospital;0;0;0;2;2
3500105;Outros;0;0;3;1;4
3500105;Pronto Atendimento;0;0;0;0;0
3500105;Unidade_Basica_Saude;0;0;9;0;9
3500105;Unidade_Saude_Mental;0;0;1;0;1
3500105;Unidade_Movel;1;0;1;0;2
3500105;Vigilancia_Saude;0;0;4;0;4
3500204;Clinica;0;0;1;0;1
3500204;Consultorio_Isolado;0;0;0;2;2
3500204;Diagnose e Terapia;0;0;0;1;1
3500204;Hospital;0;0;0;0;0
3500204;Outros;0;0;1;0;1
3500204;Pronto Atendimento;0;0;0;0;0
3500204;Unidade_Basica_Saude;0;0;1;0;1
3500204;Unidade_Saude_Mental;0;0;0;0;0
3500204;Unidade_Movel;0;0;0;0;0
3500204;Vigilancia_Saude;0;0;0;0;0
3500303;Clinica;0;0;2;3;5
3500303;Consultorio_Isolado;0;0;0;56;56
3500303;Diagnose e Terapia;0;0;1;7;8
3500303;Hospital;0;0;0;1;1
3500303;Outros;0;0;2;4;6
3500303;Pronto Atendimento;0;0;1;0;1
3500303;Unidade_Basica_Saude;0;0;5;0;5
3500303;Unidade_Saude_Mental;0;0;1;0;1
3500303;Unidade_Movel;0;0;1;0;1
3500303;Vigilancia_Saude;0;0;2;0;2
3500402;Clinica;0;0;0;3;3
3500402;Consultorio_Isolado;0;0;0;4;4
3500402;Diagnose e Terapia;0;0;0;0;0
3500402;Hospital;0;0;0;0;0
3500402;Outros;0;0;1;0;1
3500402;Pronto Atendimento;0;0;0;0;0
3500402;Unidade_Basica_Saude;0;0;3;0;3
3500402;Unidade_Saude_Mental;0;0;0;0;0
3500402;Unidade_Movel;0;0;0;0;0
3500402;Vigilancia_Saude;0;0;0;0;0
3500501;Clinica;0;0;2;9;11
3500501;Consultorio_Isolado;0;0;0;30;30
3500501;Diagnose e Terapia;0;0;0;6;6
3500501;Hospital;0;0;0;1;1
3500501;Outros;0;0;1;0;1
3500501;Pronto Atendimento;0;0;0;0;0
3500501;Unidade_Basica_Saude;0;0;7;0;7
3500501;Unidade_Saude_Mental;0;0;1;0;1
3500501;Unidade_Movel;0;0;0;0;0
3500501;Vigilancia_Saude;0;0;1;0;1
3500550;Clinica;0;0;0;2;2
3500550;Consultorio_Isolado;0;0;0;6;6
3500550;Diagnose e Terapia;0;0;0;0;0
3500550;Hospital;0;0;0;0;0
3500550;Outros;0;0;1;0;1
3500550;Pronto Atendimento;0;0;0;0;0
3500550;Unidade_Basica_Saude;0;0;4;0;4
3500550;Unidade_Saude_Mental;0;0;0;0;0
3500550;Unidade_Movel;0;0;0;0;0
3500550;Vigilancia_Saude;0;0;0;0;0
3500600;Clinica;0;0;1;0;1
3500600;Consultorio_Isolado;0;0;0;2;2
3500600;Diagnose e Terapia;0;0;0;2;2
3500600;Hospital;0;0;0;0;0
3500600;Outros;0;0;2;0;2
3500600;Pronto Atendimento;0;0;1;0;1
3500600;Unidade_Basica_Saude;0;0;1;0;1
3500600;Unidade_Saude_Mental;0;0;0;0;0
3500600;Unidade_Movel;0;0;0;0;0
3500600;Vigilancia_Saude;0;0;0;0;0
3500709;Clinica;0;0;0;5;5
3500709;Consultorio_Isolado;0;0;0;34;34
3500709;Diagnose e Terapia;0;0;0;2;2
3500709;Hospital;0;0;0;1;1
3500709;Outros;0;0;1;0;1
3500709;Pronto Atendimento;0;0;1;0;1
3500709;Unidade_Basica_Saude;0;0;11;0;11
3500709;Unidade_Saude_Mental;0;0;1;0;1
3500709;Unidade_Movel;0;0;1;0;1
3500709;Vigilancia_Saude;0;0;0;0;0
3500758;Clinica;0;0;0;0;0
3500758;Consultorio_Isolado;0;0;0;1;1
3500758;Diagnose e Terapia;0;0;0;1;1
3500758;Hospital;0;0;0;0;0
3500758;Outros;0;0;2;0;2
3500758;Pronto Atendimento;0;0;0;0;0
3500758;Unidade_Basica_Saude;0;0;5;0;5
3500758;Unidade_Saude_Mental;0;0;0;0;0
3500758;Unidade_Movel;0;0;1;0;1
3500758;Vigilancia_Saude;0;0;0;0;0
3500808;Clinica;0;0;0;0;0
3500808;Consultorio_Isolado;0;0;0;1;1
3500808;Diagnose e Terapia;0;0;0;0;0
3500808;Hospital;0;0;0;0;0
3500808;Outros;0;0;1;0;1
3500808;Pronto Atendimento;0;0;0;0;0
3500808;Unidade_Basica_Saude;0;0;1;0;1
3500808;Unidade_Saude_Mental;0;0;0;0;0
3500808;Unidade_Movel;0;0;0;0;0
3500808;Vigilancia_Saude;0;0;0;0;0
3500907;Clinica;0;0;1;0;1
3500907;Consultorio_Isolado;0;0;0;3;3
3500907;Diagnose e Terapia;0;0;0;0;0
3500907;Hospital;0;0;0;0;0
3500907;Outros;0;0;2;0;2
3500907;Pronto Atendimento;0;0;0;0;0
3500907;Unidade_Basica_Saude;0;0;3;0;3
3500907;Unidade_Saude_Mental;0;0;0;0;0
3500907;Unidade_Movel;0;0;1;0;1
3500907;Vigilancia_Saude;0;0;0;0;0
3501004;Clinica;0;0;5;6;11
3501004;Consultorio_Isolado;0;0;2;32;34
3501004;Diagnose e Terapia;0;0;1;0;1
3501004;Hospital;0;0;0;1;1
3501004;Outros;0;0;3;0;3
3501004;Pronto Atendimento;0;0;0;0;0
3501004;Unidade_Basica_Saude;0;0;7;0;7
3501004;Unidade_Saude_Mental;0;0;0;0;0
3501004;Unidade_Movel;0;0;1;0;1
3501004;Vigilancia_Saude;0;0;2;0;2
3501103;Clinica;0;0;1;0;1
3501103;Consultorio_Isolado;0;0;0;2;2
3501103;Diagnose e Terapia;0;0;0;0;0
3501103;Hospital;0;0;1;0;1
3501103;Outros;0;0;1;0;1
3501103;Pronto Atendimento;0;0;0;0;0
3501103;Unidade_Basica_Saude;0;0;3;0;3
3501103;Unidade_Saude_Mental;0;0;0;0;0
3501103;Unidade_Movel;0;0;0;0;0
3501103;Vigilancia_Saude;0;0;0;0;0
3501152;Clinica;0;0;1;4;5
3501152;Consultorio_Isolado;0;0;1;4;5
3501152;Diagnose e Terapia;0;0;0;1;1
3501152;Hospital;0;0;0;0;0
3501152;Outros;0;0;2;0;2
3501152;Pronto Atendimento;0;0;1;0;1
3501152;Unidade_Basica_Saude;0;0;2;0;2
3501152;Unidade_Saude_Mental;0;0;0;0;0
3501152;Unidade_Movel;0;0;0;0;0
3501152;Vigilancia_Saude;0;0;2;0;2
3501202;Clinica;0;0;0;0;0
3501202;Consultorio_Isolado;0;0;0;1;1
3501202;Diagnose e Terapia;0;0;0;0;0
3501202;Hospital;0;0;0;0;0
3501202;Outros;0;0;1;0;1
3501202;Pronto Atendimento;0;0;0;0;0
3501202;Unidade_Basica_Saude;0;0;3;0;3
3501202;Unidade_Saude_Mental;0;0;0;0;0
3501202;Unidade_Movel;0;0;0;0;0
3501202;Vigilancia_Saude;0;0;0;0;0
3501301;Clinica;0;0;2;3;5
3501301;Consultorio_Isolado;0;0;0;11;11
3501301;Diagnose e Terapia;0;0;0;4;4
3501301;Hospital;0;0;0;1;1
3501301;Outros;0;0;2;0;2
3501301;Pronto Atendimento;0;0;0;0;0
3501301;Unidade_Basica_Saude;0;0;8;0;8
3501301;Unidade_Saude_Mental;0;0;0;0;0
3501301;Unidade_Movel;0;0;0;0;0
3501301;Vigilancia_Saude;0;0;0;0;0
3501400;Clinica;0;0;0;0;0
3501400;Consultorio_Isolado;0;0;0;0;0
3501400;Diagnose e Terapia;0;0;0;0;0
3501400;Hospital;0;0;0;0;0
3501400;Outros;0;0;1;0;1
3501400;Pronto Atendimento;0;0;0;0;0
3501400;Unidade_Basica_Saude;1;0;1;0;2
3501400;Unidade_Saude_Mental;0;0;0;0;0
3501400;Unidade_Movel;0;0;0;0;0
3501400;Vigilancia_Saude;0;0;0;0;0
3501509;Clinica;0;0;0;0;0
3501509;Consultorio_Isolado;0;0;0;0;0
3501509;Diagnose e Terapia;0;0;0;0;0
3501509;Hospital;0;0;0;0;0
3501509;Outros;0;0;2;0;2
3501509;Pronto Atendimento;0;0;0;0;0
3501509;Unidade_Basica_Saude;0;0;1;0;1
3501509;Unidade_Saude_Mental;0;0;0;0;0
3501509;Unidade_Movel;0;0;0;0;0
3501509;Vigilancia_Saude;0;0;0;0;0
3501608;Clinica;0;0;5;27;32
3501608;Consultorio_Isolado;0;0;1;942;943
3501608;Diagnose e Terapia;0;0;0;58;58
3501608;Hospital;0;0;2;7;9
3501608;Outros;0;0;5;6;11
3501608;Pronto Atendimento;0;0;1;0;1
3501608;Unidade_Basica_Saude;1;0;26;0;27
3501608;Unidade_Saude_Mental;0;0;3;0;3
3501608;Unidade_Movel;1;0;0;0;1
3501608;Vigilancia_Saude;0;0;1;0;1
3501707;Clinica;0;0;2;6;8
3501707;Consultorio_Isolado;0;0;0;12;12
3501707;Diagnose e Terapia;0;0;0;1;1
3501707;Hospital;2;0;0;0;2
3501707;Outros;0;0;5;1;6
3501707;Pronto Atendimento;0;0;0;1;1
3501707;Unidade_Basica_Saude;0;0;6;1;7
3501707;Unidade_Saude_Mental;0;0;1;0;1
3501707;Unidade_Movel;0;0;2;0;2
